Data,Rt - ISS
2020-02-04,3.07612510640543
2020-02-05,2.50169090391269
2020-02-06,2.03352047161829
2020-02-07,1.67372842901062
2020-02-08,1.28516983741739
2020-02-09,1.04076819661161
2020-02-10,1.21208240765155
2020-02-11,1.15820855914037
2020-02-12,1.24841633085029
2020-02-13,1.34719607450599
2020-02-14,1.56117712290077
2020-02-15,2.13582933315805
2020-02-16,2.25207155813839
2020-02-17,2.29515176563969
2020-02-18,2.47766877206465
2020-02-19,2.36418350636157
2020-02-20,2.93650784172894
2020-02-21,2.93372904104634
2020-02-22,2.80677723616673
2020-02-23,2.88157436958533
2020-02-24,2.93864685572503
2020-02-25,2.98859359267
2020-02-26,2.855559680296
2020-02-27,2.58661276280421
2020-02-28,2.58483665611639
2020-02-29,2.42667988401058
2020-03-01,2.69930867750292
2020-03-02,2.60130415809447
2020-03-03,2.48507383487962
2020-03-04,2.30832352292409
2020-03-05,2.24836629656454
2020-03-06,2.1625592428602
2020-03-07,2.11723935148679
2020-03-08,1.96693313090348
2020-03-09,1.95184773256126
2020-03-10,2.03910711486768
2020-03-11,1.95604316642727
2020-03-12,1.86326750106722
2020-03-13,1.7935456519014
2020-03-14,1.68380232392812
2020-03-15,1.62536081860991
2020-03-16,1.52418252026164
2020-03-17,1.34621567053267
2020-03-18,1.28617438283359
2020-03-19,1.20400242907508
2020-03-20,1.18088347258173
2020-03-21,1.11391628613603
2020-03-22,1.01990169441784
2020-03-23,0.973615445013984
2020-03-24,0.934143532292888
2020-03-25,0.901339330743304
2020-03-26,0.874138493701629
2020-03-27,0.802029717677309
2020-03-28,0.795705003065383
2020-03-29,0.770138654718188
2020-03-30,0.765518921983972
2020-03-31,0.755279539437537
2020-04-01,0.786836791474621
2020-04-02,0.787139564269681
2020-04-03,0.780067667865853
2020-04-04,0.770206983797366
2020-04-05,0.779022003193651
2020-04-06,0.752447899939725
2020-04-07,0.763361113901192
2020-04-08,0.710869569637678
2020-04-09,0.711247891895783
2020-04-10,0.739857036034498
2020-04-11,0.737178688361773
2020-04-12,0.752513549838856
2020-04-13,0.74143267985035
2020-04-14,0.755243524328781
2020-04-15,0.781158151805653
2020-04-16,0.793040784366232
2020-04-17,0.756413989711688
2020-04-18,0.771199127132143
2020-04-19,0.754987996761993
2020-04-20,0.808067810174764
2020-04-21,0.788688084699805
2020-04-22,0.751668455398257
2020-04-23,0.739969293302224
2020-04-24,0.7202301053338
2020-04-25,0.711219749834019
2020-04-26,0.710013135822091
2020-04-27,0.665259050016628
2020-04-28,0.657328733450286
2020-04-29,0.641902907888534
2020-04-30,0.627525475786586
2020-05-01,0.626311344141404
2020-05-02,0.617749679998872
2020-05-03,0.618226994150317
2020-05-04,0.582637685311228
2020-05-05,0.586826096437374
2020-05-06,0.584095021953927
2020-05-07,0.58505293962675
2020-05-08,0.594661160818082
2020-05-09,0.592500980474426
2020-05-10,0.621123155098399
2020-05-11,0.631489619911163
2020-05-12,0.635004901814099
2020-05-13,0.644775933237949
2020-05-14,0.64865731949023
2020-05-15,0.644837930585615
2020-05-16,0.672916920551443
2020-05-17,0.664025146259365
2020-05-18,0.675624146423197
2020-05-19,0.666462077588943
2020-05-20,0.682011617529518
2020-05-21,0.683486842360057
2020-05-22,0.659949726785363
2020-05-23,0.657774646742329
2020-05-24,0.65769795663354
2020-05-25,0.649140698765229
2020-05-26,0.647153937261113
2020-05-27,0.637482607392387
2020-05-28,0.63739026473925
2020-05-29,0.642426658096621
2020-05-30,0.66361686564101
2020-05-31,0.683862250134475
2020-06-01,0.683474018967991
2020-06-02,0.640211130643679
2020-06-03,0.629719949529059
2020-06-04,0.639650700327735
2020-06-05,0.682509497297883
2020-06-06,0.695711376286243
2020-06-07,0.732072409812595
2020-06-08,0.745570154134136
2020-06-09,0.826189994947122
2020-06-10,0.834044492457535
2020-06-11,0.85009428363409
2020-06-12,0.84420589557605
2020-06-13,0.852290366268818
2020-06-14,0.879518736506491
2020-06-15,0.865406436124664
2020-06-16,0.863952264449826
2020-06-17,0.847784905175005
2020-06-18,0.846523276984327
2020-06-19,0.823091549723023
2020-06-20,0.824558244196029
2020-06-21,0.817170511287436
2020-06-22,0.797329587867427
2020-06-23,0.777854340682305
2020-06-24,0.808026624966965
2020-06-25,0.819376717239982
2020-06-26,0.848271481408632
2020-06-27,0.866445803316917
2020-06-28,0.866312706259516
2020-06-29,0.882625892163453
2020-06-30,0.888045705046634
2020-07-01,0.932421684873659
2020-07-02,0.947583166926624
2020-07-03,0.90838217984246
2020-07-04,0.906958084330407
2020-07-05,0.914806940542656
2020-07-06,0.927208205088539
2020-07-07,0.977020941451162
2020-07-08,0.944150776376043
2020-07-09,0.935015140528714
2020-07-10,0.99553016027476
2020-07-11,1.00496485413076
2020-07-12,1.01070556530041
2020-07-13,0.988188231382078
2020-07-14,0.981721000960631
2020-07-15,0.956536143528611
2020-07-16,0.948496803446913
2020-07-17,0.933429794341871
2020-07-18,0.93856012746951
2020-07-19,0.956911235354556
2020-07-20,0.991296943549184
2020-07-21,0.988845987568266
2020-07-22,0.999570098479785
2020-07-23,1.0202031438257
2020-07-24,1.01779457624489
2020-07-25,1.04172700616062
2020-07-26,0.999480248779699
2020-07-27,0.977245268878602
2020-07-28,0.969289018397916
2020-07-29,0.964350590796852
2020-07-30,0.943128948905908
2020-07-31,0.904585675625206
2020-08-01,0.911579504955708
2020-08-02,0.926190342639395
2020-08-03,0.927896173966592
2020-08-04,0.916919850269686
2020-08-05,0.934879104624025
2020-08-06,0.948591730593699
2020-08-07,0.963177048053605
